prescriptions,product_value,'"Product''s value"'
prescriptions,product_value_placeholder,'"Insert product''s value"'
prescriptions,map_name_modal_title,"Set prescription map name"
prescriptions,error_create,"Unable to create prescription"
prescriptions,cancel_modal_title,"Exit from create prescription mode"
prescriptions,cancel_modal_text,'"Are you sure you want to quit the prescription create mode? If you continue, you will lose all entered data."'
prescriptions,create_management_zone,"Save management zone"
prescriptions,cancel_management_zone_title,"Exit from management zone create mode"
prescriptions,cancel_management_zone_text,"Are you sure you want to quit the management zone create mode? You will lose all the unsaved changes."
prescriptions,management_zone_name_modal_title,"Set management zone name"
prescriptions,management_zone_name,"Management zone name"
prescriptions,management_zone_name_placeholder,'"Insert management zone''s name"'
prescriptions,error_create_management_zone,"Unable to create management zone"
prescriptions,management_zone_zone_name_modal_title,'"Edit zone''s name"'
prescriptions,management_zone_zone_name,"Management zone name"
prescriptions,management_zone_zone_name_placeholder,'"Insert management zone''s name"'
prescriptions,management_zone_new_zone_name,"New zone {{number}}"
fields,menu,"Fields"
fields,title,"Fields"
fields,add_field_button,"New field"
fields,add_field_modal_title,"New field"
fields,edit_field_modal_title,"Edit field"
fields,field_column_title,"Name"
fields,grower_column_title,"Grower"
fields,grower_column_title_placeholder,"Select grower"
fields,farm_column_title,"Farm"
fields,farm_column_title_placeholder,"Select farm"
fields,total_area_column_title,'"Boundary''s area"'
fields,tillable_area_column_title,"Tillable area"
fields,tillable_area_column_title_placeholder,"Insert tillable area"
fields,field_name_input_title,'"Field''s name"'
fields,field_name_input_title_placeholder,'"Insert field''s name"'
fields,create_field_button,"Create field"
fields,save_field_button,"Save field"
fields,delete_field,"Delete field"
fields,fields_list,"Fields"
fields,no_fields_found,"No field created yet"
fields,no_fields_found_desc,"You can create a new field from the button below"
fields,all_farms,"All farms"
fields,all_growers,"All growers"
fields,search_field_name,"Search field name"
fields,error_create,"Create error!"
fields,error_delete,"Delete error!"
fields,error_update,"Update error!"
fields,error_load_list,"Error loading fields!"
fields,empty_title,"No fields added"
fields,empty_description,"You can create fields from the button above"
crops,menu,"Crops"
crops,title,"Crops"
crops,crops_column_title,"Name"
crops,crop_input_title,'"Crop''s name"'
crops,crop_input_title_placeholder,'"Insert crop''s name"'
crops,add_crop_button,"New crop"
crops,add_crop_modal_title,"New crop"
crops,edit_crop_modal_title,"Edit crop"
crops,delete_crop,"Delete crops"
crops,error_create,"Create error!"
crops,error_delete,"Delete error!"
crops,error_update,"Update error!"
crops,error_load_list,"Load error!"
crops,empty_title,"No crops added"
crops,empty_description,"You can create crops from the button above"
overview,menu,"Overview"
overview,view_layers,"View layers"
overview,layers,"Layers"
overview,tab_tasks,"Tasks"
overview,tab_prescription,"Prescription"
overview,tab_zone,"Zone"
overview,tab_guidance,"Guidance"
overview,tab_fields,"Fields"
overview,tab_vehicles,"Vehicles"
overview,filter_operation,"Operation"
