forms,add_modal_save_button,Create,GLOBAL.CREATE,
forms,edit_modal_save_button,Save,GLOBAL.SAVE,
growers,error_create,Create error!,ERRORS.GROWERS.NEW,
growers,error_delete,Delete error!,ERRORS.GROWERS.DELETE,!
growers,delete_grower,Delete grower,,
growers,edit_grower_modal_title,Edit grower,GROWER.EDIT,
growers,grower_input_title,Grower's name,GROWER_MODAL.GROWER_LABEL,
growers,menu,Growers,GROWER.GROWERS,
growers,title,Growers,GROWER.GROWERS,
growers,grower_input_title_placeholder,Insert grower's name,GROWER_MODAL.EG,
growers,empty_description,You can create growers from the button above,,
growers,error_load_list,Load error!,MAP.PLUGINS.LEGEND.ERROR_MESSAGE,
growers,grower_column_title,Name,GLOBAL.NAME,
growers,add_grower_button,New grower,GROWER.NEW,
growers,add_grower_modal_title,New grower,GROWER_MODAL.TITLE,
growers,empty_title,No growers added,,
growers,error_update,Update error!,ERRORS.GROWERS.EDIT,
legend,error_load,Load error!,,
legend,max_label,Max: {{value}},MAP.PLUGINS.LEGEND.MAX_LABEL,
legend,min_label,Min: {{value}},MAP.PLUGINS.LEGEND.MIN_LABEL,
manage,menu,Manage,SECONDARY_NAV.MANAGE,
map,alarms,Alarms,GLOBAL.ALARMS,
map,vehicle_brand,Brand,VEHICLES.BRAND,
map,change_style,Change Style,GLOBAL.CHANGE_STYLE,
map,classes,Classes,THEMATIZATION.CLASSES,
map,color_ramp,Color Ramp,THEMATIZATION.COLOR_RAMP,
map,error_fetch_weather,Coundn't find weather data for field,,
map,crops,Crops,GLOBAL.CROPS,
map,distance,Distance,VEHICLES.DISTANCE,
map,shape_file_uploader_draggable_area_text,Drop a shape file ...,MAP.PLUGINS.UPLOAD.DRAGGABLE_AREA.TEXT,
map,edit_field,Edit field,FIELD_CARD.ACTIONS.EDIT,
map,empty,Empty,,
map,engine_hours,Engine hours,VEHICLES.ENGINE_H,
map,engine_speed,Engine speed,VEHICLES.ENGINE_S,
map,farm,Farm,NEW_FIELD.FARM_LABEL,
map,field_thumbnail,Field thumbnail,,
map,field_information,Field's information,FIELD_CARD.INFO,
map,fuel,Fuel,,
map,fuel_rate,Fuel rate,VEHICLES.FUELRATE,
map,grower,Grower,GLOBAL.GROWER,
map,shape_file_uploader_text,import shape file,MAP.PLUGINS.UPLOAD.TEXT,
map,import_tasks,Import tasks,FIELD_CARD.IMPORT_TASKS,
map,inverted,Inverted,THEMATIZATION.INVERTED,
map,recent_tasks,Last 3 tasks,FIELD_CARD.LAST_TASKS,
map,legenda,Legenda,,
map,machine_information,Machine information,VEHICLES.MACHINE_INFO,
map,map,Map,,
map,method,Method,THEMATIZATION.METHOD,
map,vehicle_model,Model,VEHICLES.MODEL,
map,legend_error_message,No data to show,MAP.PLUGINS.LEGEND.ERROR_MESSAGE,
map,opacity,Opacity,GLOBAL.OPACITY,
map,vehicle_sn,S/N,VEHICLES.SN,
map,satellite,Satellite,MAP.PLUGINS.LAYER_SWITCH.SATELLITE,
map,search_location,Search Location,MAP.PLUGINS.SEARCH.PLACEHOLDER,
map,speed,Speed,VEHICLES.SPEED,
map,vehicle_status,Status,VEHICLES.STATUS,
map,street,Street,MAP.PLUGINS.LAYER_SWITCH.STREET,
map,tasks,Tasks,GLOBAL.TASKS,
map,tasks_summary,Tasks' summary,FIELD_CARD.SUMMARY_TASKS,
map,temperature,Temperature,MAP.PLUGINS.WEATHER.TEMPERATURE,
map,threshold,Threshold,THEMATIZATION.THRESHOLD,
map,tillable_area,Tillable area,GLOBAL.TILLABLE_AREA,
map,vehicle_type,Type,VEHICLES.TYPE,
map,total_area,Total area,STATISTICS.TOTAL_AREA,
map,total_field_area,Total field area,FIELD_CARD.AREA,
map,total_mass,Total mass,STATISTICS.TOTAL_MASS,
map,unadjusted_ttl,Unadjusted TTL,STATISTICS.UN_ADJ_TTL_M,
map,vehicle_thumbnail,Vehicle thumbnail,,
map,weather,Weather,FIELD_CARD.WEATHER,
map,weather_icon,Weather icon,,
map,wind_speed,Wind speed,MAP.PLUGINS.WEATHER.WIND_SPEED,
overview,AB,A to B,,
overview,filter_operation_as_applied,As applied,OPERATIONS.AS_APPLIED,
overview,change_style,Change style,,
overview,filter_operation_crop_spec,Crop spec,CROP.CROP_SPEC,
overview,thematize_form_title,Edit thematization,THEMATIZATION.EDIT,
overview,layer_elevation,Elevation,,
overview,estimated_total,Estimated total,STATISTICS.PRODUCT_TOTAL,
overview,fab_farm,farm,GLOBAL.FARM,
overview,fab_field,field,GLOBAL.FIELD,
overview,tab_fields,Fields,OVERVIEW_SIDEBAR.FIELDS_TAB,
overview,fab_grower,grower,GLOBAL.GROWER,
overview,tab_guidance,Guidance,GLOBAL.GUIDANCE,
overview,filter_operation_yield,Yield,OPERATIONS.YIELD,
overview,import_task,Import task,EMPTY_STATE.TASKS.IMPORTED_CTA,
overview,no_prescriptions_desc,You can create a new prescription from the button below,EMPTY_STATE.PRESCRIPTIONS.IMPORTED_TEXT,
overview,layers,Layers,,
overview,mzone,Management zone,PRESCRIPTION.MANAGEMENT_ZONE,
overview,prescriptionMap,Management zone,PRESCRIPTION.MANAGEMENT_ZONE,
overview,new_prescription,New prescription,PRESCRIPTION.NEW_PRESCRIPTIONS,
overview,no_guidance,No guidance line created yet,EMPTY_STATE.GUIDANCE.IMPORTED_TITLE,
overview,no_zone,No management zone created yet,EMPTY_STATE.MGMZ.IMPORTED_TITLE,
overview,no_prescriptions,No prescription created yet,EMPTY_STATE.PRESCRIPTIONS.IMPORTED_TITLE,
overview,no_tasks,No tasks imported yet,EMPTY_STATE.TASKS.IMPORTED_TITLE,
overview,no_tasks_desc,No tasks imported yet,EMPTY_STATE.TASKS.IMPORTED_TITLE,
overview,opacity,Opacity,GLOBAL.OPACITY,
overview,filter_operation,Operation,GLOBAL.OPERATION,
overview,menu,Overview,SECONDARY_NAV.OVERVIEW,
overview,tab_prescription,Prescription,PRESCRIPTION.PRESCRIPTION,
overview,product,Product,GLOBAL.PRODUCT,
overview,product_area,Product area,STATISTICS.PRODUCT_AREA,
overview,layer_speed,Speed,VEHICLES.SPEED,
overview,spread_time,Spread time,STATISTICS.SPREAD_TIME,
overview,tab_tasks,Tasks,GLOBAL.TASKS,
overview,total_area,Total area,STATISTICS.TOTAL_AREA,
overview,unknown_dry_product,Unknown dry product,,
overview,tab_vehicles,Vehicles,OVERVIEW_SIDEBAR.VEHICLES_TAB,
